age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
41.3,Other,Basic,4.38,11,Asia,Laptop,13.99,0,Debit Card,3,0.365,Sci-Fi
18.0,Other,Basic,27.28,11,Asia,Desktop,8.99,0,Credit Card,5,2.275,Romance
19.599999999999998,Other,Standard,3.55,11,North America,Laptop,17.99,0,Crypto,3,0.295,Horror
19.599999999999998,Female,Basic,7.17,11,Asia,Desktop,13.99,0,Credit Card,5,0.6,Comedy
39.9,Female,Basic,0.705,11,Europe,Tablet,13.99,0,PayPal,5,0.06,Romance
18.0,Female,Basic,12.595,11,North America,TV,13.99,0,PayPal,1,1.05,Horror
18.0,Female,Basic,24.585,11,Europe,Desktop,8.99,0,Credit Card,4,2.05,Drama
32.199999999999996,Female,Basic,2.34,11,Africa,Tablet,13.99,1,Gift Card,5,0.195,Comedy
21.0,Female,Basic,4.26,11,Asia,Laptop,8.99,0,Gift Card,4,0.355,Action
28.0,Male,Basic,4.535,11,Asia,Mobile,8.99,0,Credit Card,1,0.38,Horror
18.0,Other,Basic,7.355,11,Asia,Laptop,13.99,0,Crypto,1,0.615,Sci-Fi
31.499999999999996,Other,Basic,3.435,11,Europe,Laptop,8.99,0,Debit Card,3,0.285,Drama
46.9,Female,Standard,1.665,11,Asia,Mobile,17.99,1,Crypto,3,0.14,Action
46.9,Other,Basic,5.12,11,South America,Desktop,13.99,0,Debit Card,2,0.425,Romance
30.799999999999997,Female,Standard,9.445,11,Africa,Laptop,17.99,0,PayPal,1,0.785,Documentary
18.0,Other,Basic,1.86,11,Asia,Desktop,8.99,1,Crypto,5,0.155,Documentary
40.599999999999994,Female,Basic,2.195,11,South America,Mobile,13.99,0,Debit Card,5,0.185,Romance
37.099999999999994,Female,Basic,3.34,11,Asia,Mobile,13.99,0,PayPal,4,0.28,Action
41.3,Other,Basic,17.945,11,Asia,Laptop,8.99,0,Credit Card,4,1.495,Drama
26.599999999999998,Female,Basic,1.22,11,Oceania,Laptop,13.99,1,Gift Card,5,0.1,Documentary
18.9,Male,Standard,8.645,11,Europe,Laptop,17.99,0,Crypto,2,0.72,Comedy
40.599999999999994,Female,Basic,1.2,11,North America,Mobile,13.99,0,PayPal,5,0.1,Documentary
21.0,Female,Basic,7.725,11,Europe,Mobile,13.99,0,Credit Card,1,0.645,Sci-Fi
28.0,Female,Standard,5.785,11,Asia,Laptop,17.99,0,Debit Card,3,0.48,Documentary
32.9,Other,Basic,4.005,11,Asia,Mobile,13.99,0,Gift Card,4,0.335,Horror
39.199999999999996,Other,Basic,15.275,11,Asia,TV,8.99,0,Credit Card,1,1.275,Comedy
44.099999999999994,Other,Basic,12.865,11,Africa,TV,13.99,0,PayPal,1,1.07,Comedy
32.199999999999996,Female,Standard,2.325,11,Africa,Laptop,17.99,1,Debit Card,2,0.195,Horror
18.0,Other,Standard,13.8,11,Asia,Laptop,17.99,0,Debit Card,5,1.15,Romance
42.0,Female,Basic,24.58,11,Asia,TV,8.99,0,Debit Card,3,2.05,Documentary
18.0,Female,Standard,4.94,11,South America,Laptop,17.99,0,Debit Card,4,0.41,Sci-Fi
20.299999999999997,Female,Basic,7.8,11,South America,Tablet,8.99,0,Crypto,2,0.65,Documentary
33.599999999999994,Male,Standard,0.82,11,North America,Mobile,17.99,1,Gift Card,1,0.07,Drama
34.3,Female,Basic,9.395,11,Oceania,TV,13.99,0,Gift Card,1,0.785,Horror
25.9,Other,Basic,0.66,11,South America,TV,8.99,1,Gift Card,5,0.055,Horror
25.9,Male,Basic,8.005,11,Europe,Laptop,13.99,0,Debit Card,4,0.665,Horror
23.099999999999998,Female,Standard,1.955,11,Oceania,Desktop,17.99,1,Debit Card,2,0.165,Comedy
18.0,Other,Basic,0.335,11,Asia,Laptop,8.99,1,Gift Card,4,0.03,Documentary
30.099999999999998,Other,Basic,0.295,11,Europe,Mobile,8.99,1,Debit Card,3,0.025,Drama
33.599999999999994,Male,Basic,0.57,11,Asia,Tablet,13.99,0,PayPal,4,0.045,Romance
37.099999999999994,Male,Basic,1.21,11,Africa,Desktop,8.99,1,Gift Card,5,0.1,Action
23.799999999999997,Other,Standard,8.335,11,Asia,Tablet,17.99,0,Crypto,1,0.695,Action
42.699999999999996,Male,Basic,3.64,11,Asia,Laptop,13.99,0,PayPal,2,0.305,Romance
30.099999999999998,Other,Standard,2.89,11,Africa,Desktop,17.99,0,PayPal,5,0.24,Sci-Fi
37.8,Female,Basic,2.805,11,Europe,Mobile,8.99,0,PayPal,4,0.235,Sci-Fi
18.0,Female,Basic,1.555,11,Asia,Tablet,8.99,1,Credit Card,2,0.13,Sci-Fi
30.099999999999998,Male,Standard,7.105,11,South America,TV,17.99,0,PayPal,3,0.59,Horror
35.0,Female,Basic,8.415,11,South America,Tablet,13.99,0,Credit Card,2,0.7,Documentary
28.0,Female,Basic,2.77,11,Asia,Mobile,8.99,1,Gift Card,1,0.23,Drama
48.3,Other,Standard,6.7,11,North America,Laptop,17.99,0,Debit Card,3,0.56,Comedy
18.0,Female,Standard,7.39,11,Oceania,TV,17.99,0,Debit Card,2,0.615,Documentary
18.0,Female,Standard,2.215,11,Asia,TV,17.99,0,Credit Card,5,0.185,Romance
42.699999999999996,Other,Standard,6.295,11,Asia,TV,17.99,0,Crypto,5,0.525,Romance
23.099999999999998,Other,Basic,8.15,11,Europe,Tablet,13.99,0,Gift Card,2,0.68,Sci-Fi
18.0,Other,Standard,6.255,11,Europe,Mobile,17.99,0,Crypto,4,0.52,Documentary
39.199999999999996,Other,Basic,8.72,11,Asia,TV,13.99,0,Crypto,1,0.725,Documentary
30.099999999999998,Male,Standard,3.3,11,South America,Desktop,17.99,0,Gift Card,4,0.275,Drama
45.5,Female,Basic,23.905,11,Africa,Desktop,13.99,0,Crypto,4,1.99,Action
18.0,Female,Basic,0.375,11,Africa,Laptop,8.99,1,Crypto,5,0.03,Romance
38.5,Male,Basic,1.83,11,Asia,TV,8.99,1,Credit Card,4,0.15,Sci-Fi
39.199999999999996,Other,Basic,4.565,11,Asia,Desktop,8.99,0,Debit Card,2,0.38,Romance
47.599999999999994,Female,Basic,7.325,11,Oceania,Tablet,13.99,0,Debit Card,5,0.61,Sci-Fi
43.4,Female,Standard,6.575,11,Oceania,Desktop,17.99,0,Debit Card,1,0.55,Comedy
21.7,Male,Basic,24.175,11,Asia,Desktop,8.99,0,Debit Card,5,2.015,Comedy
44.8,Female,Basic,3.495,11,Oceania,Tablet,8.99,0,Crypto,1,0.29,Sci-Fi
43.4,Male,Standard,10.315,11,Africa,TV,17.99,0,PayPal,3,0.86,Comedy
42.0,Female,Basic,10.83,11,Asia,Desktop,8.99,0,Crypto,2,0.9,Comedy
35.699999999999996,Other,Standard,4.0,11,South America,TV,17.99,0,Crypto,1,0.335,Sci-Fi
18.2,Other,Basic,1.0,11,Africa,Desktop,13.99,1,PayPal,3,0.085,Documentary
42.699999999999996,Female,Basic,19.275,11,Europe,Desktop,13.99,0,Debit Card,4,1.605,Comedy
20.299999999999997,Female,Basic,5.595,11,Asia,Mobile,8.99,0,Debit Card,2,0.465,Comedy
18.0,Female,Standard,8.56,11,Asia,TV,17.99,0,Credit Card,1,0.715,Sci-Fi
44.099999999999994,Other,Standard,7.51,11,North America,TV,17.99,0,PayPal,2,0.625,Comedy
42.0,Other,Basic,1.19,10,Asia,Laptop,13.99,0,Debit Card,5,0.11,Action
20.299999999999997,Male,Basic,17.985,10,Asia,Desktop,13.99,0,Debit Card,4,1.635,Romance
18.0,Male,Basic,0.375,10,South America,Mobile,8.99,1,Gift Card,3,0.035,Sci-Fi
18.0,Female,Standard,3.715,10,Asia,Tablet,17.99,0,Debit Card,4,0.34,Drama
39.199999999999996,Male,Basic,4.985,10,Asia,Mobile,13.99,0,Credit Card,5,0.455,Action
27.299999999999997,Female,Basic,5.485,10,Oceania,Mobile,8.99,0,PayPal,1,0.5,Comedy
24.5,Female,Basic,10.225,10,Asia,Tablet,13.99,0,Credit Card,2,0.93,Sci-Fi
18.0,Male,Basic,11.075,10,Asia,TV,13.99,0,Gift Card,5,1.005,Horror
18.0,Female,Basic,10.615,10,Africa,Laptop,8.99,0,Debit Card,1,0.965,Horror
18.0,Male,Standard,11.385,10,Asia,TV,17.99,0,Credit Card,1,1.035,Sci-Fi
39.9,Female,Basic,2.06,10,Asia,TV,8.99,1,Debit Card,1,0.185,Sci-Fi
32.199999999999996,Other,Standard,3.93,10,Asia,Tablet,17.99,0,Credit Card,1,0.355,Drama
18.9,Female,Basic,8.16,10,Asia,TV,13.99,0,Crypto,2,0.74,Drama
35.0,Other,Basic,4.95,10,Asia,Desktop,13.99,0,Debit Card,2,0.45,Drama
39.199999999999996,Other,Standard,0.06,10,Oceania,Laptop,17.99,1,Crypto,4,0.005,Horror
34.3,Male,Basic,4.84,10,North America,Mobile,8.99,0,PayPal,2,0.44,Horror
31.499999999999996,Other,Basic,4.99,10,Asia,Mobile,8.99,0,PayPal,3,0.455,Romance
45.5,Other,Basic,10.28,10,Europe,Laptop,13.99,0,Debit Card,5,0.935,Sci-Fi
18.0,Female,Basic,11.62,10,Asia,Tablet,8.99,0,Credit Card,3,1.055,Romance
24.5,Male,Standard,4.94,10,Asia,Mobile,17.99,0,Debit Card,3,0.45,Sci-Fi
39.9,Female,Basic,3.73,10,Asia,Desktop,8.99,0,Debit Card,1,0.34,Comedy
37.8,Other,Basic,4.26,10,Asia,TV,8.99,0,Credit Card,4,0.385,Action
22.4,Male,Basic,0.76,10,Asia,Desktop,13.99,1,PayPal,3,0.07,Action
25.2,Other,Basic,1.395,10,Europe,Desktop,13.99,1,Gift Card,1,0.125,Sci-Fi
18.2,Male,Basic,2.485,10,Africa,Laptop,13.99,1,PayPal,1,0.225,Horror
45.5,Other,Basic,8.05,10,Asia,Tablet,8.99,0,Crypto,3,0.73,Sci-Fi
32.9,Female,Basic,1.285,10,Asia,Tablet,8.99,1,Gift Card,5,0.115,Sci-Fi
39.199999999999996,Female,Basic,19.295,10,Asia,Mobile,8.99,0,Gift Card,2,1.755,Sci-Fi
37.8,Other,Basic,6.595,10,North America,Tablet,13.99,0,Gift Card,2,0.6,Action
25.2,Other,Basic,0.84,10,Africa,TV,8.99,1,PayPal,4,0.075,Action
44.099999999999994,Other,Basic,15.415,10,Europe,Laptop,13.99,0,Crypto,2,1.4,Sci-Fi
28.0,Female,Basic,1.9,10,Africa,Desktop,8.99,1,Credit Card,3,0.175,Comedy
18.0,Female,Basic,10.52,10,Asia,Tablet,8.99,0,Gift Card,2,0.955,Action
22.4,Other,Basic,0.19,10,Asia,Desktop,13.99,0,Credit Card,5,0.015,Comedy
20.299999999999997,Male,Standard,3.77,10,Asia,Mobile,17.99,0,Debit Card,3,0.345,Action
33.599999999999994,Other,Basic,3.315,10,South America,Tablet,8.99,0,PayPal,2,0.3,Documentary
18.0,Other,Standard,0.815,10,Africa,Desktop,17.99,0,Credit Card,4,0.075,Comedy
24.5,Other,Basic,4.435,10,Oceania,Laptop,8.99,0,Credit Card,2,0.405,Drama
28.0,Female,Basic,3.1,10,Asia,Tablet,13.99,0,Credit Card,3,0.28,Drama
25.9,Male,Basic,0.01,10,Asia,TV,13.99,0,PayPal,5,0.0,Sci-Fi
20.299999999999997,Female,Basic,0.78,10,Europe,Tablet,13.99,1,Gift Card,5,0.07,Horror
48.3,Female,Basic,8.215,10,Oceania,Tablet,8.99,0,Debit Card,1,0.745,Action
23.099999999999998,Other,Basic,2.09,10,South America,Laptop,13.99,1,Crypto,5,0.19,Horror
18.0,Female,Basic,4.565,10,Asia,Laptop,8.99,0,Debit Card,4,0.415,Documentary
39.199999999999996,Female,Standard,4.415,10,Europe,Tablet,17.99,0,Debit Card,1,0.4,Documentary
20.299999999999997,Male,Standard,7.425,10,Asia,Tablet,17.99,0,Credit Card,1,0.675,Horror
24.5,Other,Basic,4.715,10,South America,Laptop,13.99,0,PayPal,2,0.43,Horror
32.9,Other,Basic,0.145,10,Africa,Mobile,8.99,1,Debit Card,4,0.015,Horror
33.599999999999994,Other,Basic,30.425,10,Africa,Desktop,8.99,0,Debit Card,5,2.765,Horror
30.099999999999998,Other,Basic,6.595,10,Asia,TV,8.99,0,Crypto,5,0.6,Comedy
43.4,Other,Standard,2.495,10,Asia,TV,17.99,1,Debit Card,2,0.225,Comedy
39.199999999999996,Other,Basic,0.86,10,North America,Mobile,8.99,1,Debit Card,2,0.08,Horror
43.4,Male,Basic,3.56,10,North America,Desktop,8.99,0,Gift Card,1,0.325,Drama
42.0,Female,Basic,2.23,10,Europe,Laptop,8.99,1,Gift Card,5,0.205,Action
39.199999999999996,Other,Standard,0.77,10,Asia,Tablet,17.99,1,Credit Card,3,0.07,Romance
37.8,Male,Basic,9.63,10,Asia,Mobile,13.99,0,Debit Card,5,0.875,Comedy
23.099999999999998,Other,Standard,6.625,10,Europe,TV,17.99,0,Gift Card,1,0.6,Comedy
18.0,Other,Standard,2.025,10,Asia,Mobile,17.99,1,PayPal,1,0.185,Sci-Fi
25.9,Male,Standard,0.32,10,Asia,Desktop,17.99,1,Gift Card,5,0.03,Comedy
34.3,Female,Basic,3.28,10,Asia,TV,8.99,0,Debit Card,5,0.3,Comedy
47.599999999999994,Male,Basic,8.63,10,South America,Desktop,8.99,0,Credit Card,3,0.785,Documentary
18.0,Other,Standard,1.305,10,Asia,TV,17.99,0,PayPal,4,0.12,Sci-Fi
18.0,Female,Basic,15.635,10,Asia,Mobile,13.99,0,Debit Card,4,1.42,Drama
23.099999999999998,Other,Basic,1.18,10,Africa,Mobile,8.99,1,PayPal,3,0.105,Action
23.799999999999997,Male,Basic,26.99,10,Asia,Tablet,8.99,0,Crypto,5,2.455,Documentary
27.299999999999997,Other,Basic,5.775,10,Asia,Mobile,8.99,0,Gift Card,1,0.525,Horror
18.0,Female,Basic,0.655,10,South America,Mobile,8.99,1,Debit Card,2,0.06,Comedy
22.4,Other,Basic,7.42,10,Europe,Desktop,8.99,0,Crypto,2,0.675,Sci-Fi
34.3,Male,Basic,1.955,10,Oceania,TV,13.99,1,Gift Card,3,0.18,Romance
19.599999999999998,Male,Basic,24.29,10,North America,Laptop,8.99,0,Debit Card,2,2.21,Drama
18.2,Other,Standard,4.615,10,North America,Desktop,17.99,0,Gift Card,3,0.42,Documentary
21.7,Male,Standard,2.0,10,South America,Mobile,17.99,0,Debit Card,5,0.18,Comedy
22.4,Female,Standard,9.14,10,Asia,Desktop,17.99,0,Credit Card,4,0.83,Action
48.3,Male,Standard,18.22,10,North America,Laptop,17.99,0,Debit Card,4,1.655,Documentary
23.799999999999997,Male,Basic,0.885,10,Asia,Laptop,8.99,1,Credit Card,2,0.08,Romance
43.4,Female,Basic,2.41,10,Europe,Laptop,8.99,1,Debit Card,5,0.22,Sci-Fi
45.5,Other,Basic,5.19,10,Oceania,Desktop,13.99,0,PayPal,4,0.47,Horror
19.599999999999998,Female,Basic,23.34,10,Asia,Desktop,8.99,0,PayPal,1,2.12,Sci-Fi
18.0,Male,Basic,8.635,10,Europe,TV,8.99,0,PayPal,4,0.785,Romance
37.8,Male,Basic,11.425,10,South America,Desktop,8.99,0,Crypto,5,1.04,Drama
44.8,Female,Basic,5.39,10,Oceania,Mobile,13.99,0,PayPal,3,0.49,Drama
18.0,Other,Basic,8.78,10,Oceania,Mobile,8.99,0,Gift Card,5,0.8,Action
18.9,Female,Basic,1.31,10,Asia,Desktop,13.99,1,Crypto,4,0.12,Action
25.2,Female,Standard,4.4,10,Asia,Mobile,17.99,0,Debit Card,2,0.4,Comedy
32.199999999999996,Male,Standard,0.74,10,Asia,Tablet,17.99,0,Credit Card,4,0.065,Romance
32.9,Other,Standard,2.705,10,Asia,Tablet,17.99,0,Debit Card,3,0.245,Horror
34.3,Other,Standard,4.24,10,Asia,Laptop,17.99,0,PayPal,1,0.385,Horror
39.9,Other,Standard,14.095,10,Europe,Tablet,17.99,0,Debit Card,1,1.28,Romance
18.0,Female,Basic,0.795,10,Asia,Desktop,13.99,1,Gift Card,3,0.07,Documentary
39.9,Female,Basic,0.88,10,North America,Tablet,8.99,1,Credit Card,4,0.08,Comedy
29.4,Male,Standard,9.045,10,Asia,TV,17.99,0,Debit Card,2,0.82,Horror
23.799999999999997,Female,Standard,9.77,10,Asia,Laptop,17.99,0,Debit Card,2,0.89,Sci-Fi
42.699999999999996,Other,Basic,6.205,10,Asia,TV,13.99,0,Crypto,2,0.565,Romance
37.099999999999994,Other,Standard,2.245,10,Asia,Tablet,17.99,1,Debit Card,1,0.205,Action
32.9,Male,Standard,3.165,9,Asia,Laptop,17.99,0,Gift Card,4,0.315,Documentary
44.099999999999994,Female,Basic,7.905,9,Europe,Mobile,8.99,0,PayPal,3,0.79,Comedy
44.8,Other,Standard,3.5,9,Asia,Mobile,17.99,0,Crypto,4,0.35,Drama
46.199999999999996,Other,Standard,3.055,9,Asia,Tablet,17.99,0,Crypto,4,0.305,Drama
18.0,Other,Basic,2.81,9,Asia,Tablet,8.99,0,Gift Card,4,0.28,Documentary
19.599999999999998,Female,Standard,0.06,9,Asia,TV,17.99,1,Crypto,2,0.005,Romance
42.699999999999996,Other,Basic,9.745,9,Asia,TV,13.99,0,PayPal,1,0.975,Drama
47.599999999999994,Female,Basic,5.07,9,Asia,TV,8.99,0,Gift Card,1,0.505,Sci-Fi
49.0,Other,Basic,2.44,9,Asia,TV,8.99,1,PayPal,1,0.245,Drama
35.0,Other,Basic,2.18,9,Asia,Tablet,13.99,1,PayPal,2,0.22,Action
35.699999999999996,Other,Basic,1.21,9,Europe,Tablet,8.99,1,Crypto,5,0.12,Documentary
44.099999999999994,Male,Standard,0.335,9,Africa,Tablet,17.99,0,Credit Card,5,0.035,Horror
18.0,Female,Basic,10.125,9,South America,Tablet,8.99,0,Gift Card,3,1.01,Romance
18.0,Male,Standard,0.485,9,Asia,Tablet,17.99,0,Debit Card,5,0.05,Sci-Fi
18.0,Other,Standard,3.575,9,Europe,Laptop,17.99,0,Debit Card,3,0.36,Comedy
20.299999999999997,Female,Basic,3.065,9,Asia,Mobile,13.99,0,Gift Card,3,0.305,Sci-Fi
18.0,Female,Basic,11.89,9,Asia,Laptop,8.99,0,Credit Card,3,1.19,Romance
34.3,Male,Basic,5.625,9,South America,Mobile,8.99,0,Debit Card,1,0.56,Action
28.0,Other,Basic,37.995,9,Africa,Mobile,8.99,0,Credit Card,1,3.8,Comedy
44.8,Male,Basic,27.17,9,Asia,Desktop,13.99,0,Debit Card,3,2.715,Documentary
42.0,Other,Standard,1.395,9,Africa,Desktop,17.99,0,PayPal,5,0.14,Horror
18.9,Male,Standard,3.96,9,Asia,Desktop,17.99,0,Debit Card,5,0.395,Horror
18.0,Male,Basic,5.29,9,Asia,Desktop,13.99,0,Credit Card,1,0.53,Documentary
39.9,Other,Basic,2.495,9,Asia,Tablet,13.99,0,Crypto,5,0.25,Romance
30.799999999999997,Female,Basic,20.375,9,Asia,Desktop,8.99,0,Gift Card,1,2.04,Documentary
18.9,Male,Basic,0.2,9,Asia,Tablet,8.99,1,Debit Card,5,0.02,Action
18.0,Other,Basic,5.075,9,Asia,TV,8.99,0,Debit Card,2,0.51,Action
18.0,Female,Basic,0.315,9,Asia,Tablet,13.99,1,Debit Card,3,0.03,Action
26.599999999999998,Male,Basic,0.305,9,North America,Mobile,13.99,0,Credit Card,4,0.03,Documentary
20.299999999999997,Female,Standard,4.665,9,Asia,Mobile,17.99,0,PayPal,5,0.465,Horror
21.0,Male,Basic,2.55,9,Asia,TV,13.99,0,PayPal,5,0.255,Comedy
37.8,Female,Basic,2.205,9,North America,Laptop,13.99,1,Gift Card,2,0.22,Sci-Fi
44.8,Female,Basic,2.85,9,North America,Desktop,8.99,0,Credit Card,1,0.285,Comedy
23.799999999999997,Female,Basic,13.545,9,Oceania,TV,8.99,0,Debit Card,1,1.355,Documentary
37.8,Female,Basic,13.9,9,North America,TV,8.99,0,Gift Card,4,1.39,Horror
41.3,Female,Basic,2.03,9,Africa,Laptop,8.99,1,Gift Card,5,0.205,Sci-Fi
21.7,Other,Standard,7.215,9,Asia,TV,17.99,0,Credit Card,5,0.72,Documentary
44.8,Male,Basic,0.62,9,Africa,Mobile,13.99,0,Credit Card,4,0.06,Sci-Fi
46.9,Other,Standard,8.355,9,Europe,TV,17.99,0,Crypto,4,0.835,Romance
35.699999999999996,Female,Basic,11.795,9,South America,TV,8.99,0,Debit Card,3,1.18,Documentary
24.5,Female,Basic,3.685,9,Asia,Tablet,8.99,0,PayPal,4,0.37,Horror
45.5,Female,Basic,8.05,9,Africa,TV,13.99,0,PayPal,4,0.805,Documentary
37.8,Male,Basic,15.0,9,Asia,Tablet,8.99,0,Credit Card,4,1.5,Drama
39.9,Male,Standard,5.545,9,Oceania,Mobile,17.99,0,Gift Card,3,0.555,Romance
44.099999999999994,Female,Basic,20.575,9,Asia,Laptop,13.99,0,PayPal,2,2.06,Romance
21.0,Male,Standard,12.3,9,Asia,Tablet,17.99,0,Credit Card,4,1.23,Documentary
28.0,Male,Basic,1.12,9,Oceania,Desktop,8.99,1,Debit Card,2,0.11,Drama
30.799999999999997,Female,Basic,23.7,9,North America,Desktop,8.99,0,Debit Card,5,2.37,Romance
18.0,Other,Standard,5.865,9,Africa,Mobile,17.99,0,Credit Card,2,0.585,Documentary
39.199999999999996,Female,Standard,12.34,9,Europe,Mobile,17.99,0,Credit Card,1,1.235,Drama
21.7,Female,Basic,4.69,9,Africa,TV,8.99,0,Crypto,1,0.47,Horror
33.599999999999994,Female,Standard,0.92,9,North America,Laptop,17.99,1,Crypto,2,0.09,Comedy
18.0,Other,Standard,8.875,9,Oceania,Desktop,17.99,0,Gift Card,1,0.885,Comedy
18.0,Male,Basic,21.555,9,Europe,Desktop,13.99,0,Debit Card,1,2.155,Comedy
44.8,Male,Basic,0.645,9,Africa,Mobile,13.99,1,Crypto,1,0.065,Sci-Fi
18.0,Male,Basic,1.525,9,North America,TV,13.99,1,Crypto,1,0.15,Action
45.5,Other,Standard,8.34,9,Asia,Mobile,17.99,0,Debit Card,2,0.835,Romance
28.7,Other,Standard,0.825,9,Europe,Tablet,17.99,1,PayPal,2,0.08,Comedy
18.0,Male,Standard,0.085,9,Asia,Desktop,17.99,0,Debit Card,4,0.01,Horror
35.699999999999996,Other,Standard,2.215,9,South America,Laptop,17.99,1,Gift Card,3,0.22,Horror
20.299999999999997,Other,Basic,13.51,9,South America,Mobile,8.99,0,Crypto,3,1.35,Comedy
44.8,Female,Basic,5.885,9,Africa,Mobile,8.99,0,Crypto,2,0.59,Action
23.799999999999997,Male,Basic,0.61,9,Asia,Desktop,13.99,0,Debit Card,5,0.06,Action
18.0,Female,Basic,5.905,9,South America,Mobile,13.99,0,Credit Card,4,0.59,Horror
21.7,Other,Basic,15.645,9,South America,TV,13.99,0,Crypto,4,1.565,Documentary
24.5,Other,Standard,10.615,9,Asia,TV,17.99,0,PayPal,5,1.06,Horror
28.0,Female,Basic,3.94,9,Oceania,Mobile,13.99,0,Crypto,2,0.395,Sci-Fi
18.0,Other,Standard,8.825,9,Africa,TV,17.99,0,PayPal,2,0.88,Drama
44.099999999999994,Male,Basic,7.755,9,South America,Laptop,13.99,0,PayPal,1,0.775,Action
22.4,Other,Basic,2.605,9,Asia,Laptop,8.99,0,Gift Card,2,0.26,Romance
27.299999999999997,Female,Standard,2.335,9,Asia,TV,17.99,1,Crypto,3,0.235,Sci-Fi
30.799999999999997,Male,Basic,4.01,9,North America,TV,8.99,0,Crypto,4,0.4,Comedy
36.4,Male,Standard,1.56,9,South America,TV,17.99,1,PayPal,1,0.155,Comedy
35.699999999999996,Female,Standard,4.3,9,Asia,TV,17.99,0,Gift Card,1,0.43,Sci-Fi
45.5,Male,Standard,6.915,9,Asia,Tablet,17.99,0,Credit Card,3,0.69,Documentary
19.599999999999998,Other,Basic,3.485,9,Africa,Desktop,13.99,0,Debit Card,4,0.35,Horror
18.0,Female,Standard,1.95,9,North America,Laptop,17.99,0,Credit Card,5,0.195,Romance
18.0,Female,Standard,0.12,9,Asia,TV,17.99,1,Credit Card,1,0.01,Drama
18.0,Female,Basic,6.07,9,Asia,TV,13.99,0,Crypto,3,0.605,Romance
19.599999999999998,Other,Basic,0.535,9,Africa,Mobile,13.99,1,PayPal,1,0.055,Comedy
45.5,Female,Basic,2.06,9,Asia,Tablet,8.99,1,Credit Card,5,0.205,Romance
28.7,Female,Standard,9.435,9,Europe,TV,17.99,0,Gift Card,3,0.945,Documentary
18.0,Other,Basic,2.76,9,Asia,Mobile,13.99,0,Gift Card,4,0.275,Horror
46.199999999999996,Other,Standard,25.535,9,Africa,Laptop,17.99,0,Crypto,5,2.555,Action
46.9,Male,Basic,7.99,9,Asia,TV,8.99,0,Credit Card,4,0.8,Sci-Fi
18.0,Male,Basic,7.805,8,Africa,Tablet,8.99,0,Crypto,2,0.865,Horror
31.499999999999996,Male,Basic,6.555,8,Asia,Laptop,13.99,0,Gift Card,1,0.73,Sci-Fi
18.0,Female,Standard,21.07,8,South America,Laptop,17.99,0,Gift Card,3,2.34,Horror
37.099999999999994,Male,Standard,2.345,8,Asia,Mobile,17.99,0,Crypto,5,0.26,Horror
45.5,Other,Basic,4.975,8,North America,Laptop,8.99,0,Crypto,5,0.555,Comedy
42.0,Other,Basic,6.93,8,Asia,Desktop,13.99,0,Debit Card,1,0.77,Documentary
18.0,Other,Basic,1.385,8,Africa,TV,13.99,1,Gift Card,4,0.155,Horror
43.4,Male,Standard,0.31,8,Asia,Mobile,17.99,1,PayPal,1,0.035,Horror
34.3,Female,Basic,4.825,8,Asia,Laptop,8.99,0,Crypto,3,0.535,Romance
